,Neg_Word,Neg_Count,Pos_Word,Pos_Count,Neg_feature,Neg_Count_feat,Pos_feature,Pos_Count_feat,Neg_feature_brand,Neg_Count_feat_brand,Pos_feature_brand,Pos_Count_feat_brand,Neg_Word_brand,Neg_Count_brand,Pos_Word_brand,Pos_Count_brand
79,twice,14.0,hour,164, office,76.0, office,173.0,bit,4.0,unit,18.0, bluetooth,220.0, 35mm,5.0
80,standard,10.0,continuous,5, travel,320.0, travel,1074.0,silly,2.0,arent,4.0, motorola,177.0,mono,3.0
81,obviously,6.0,iphone,368, world,39.0, world,76.0,giving,3.0,volume,42.0, manufacturer,54.0, handsfree,185.0
82,take,22.0,5c,1, dual,116.0, dual,289.0,2,24.0,weak,8.0, smaller,2.0, voice,183.0
83,definitely,18.0,100,70, 110v240v,1.0, 110v240v,3.0,star,14.0,side,11.0, size,12.0, communication,44.0
84,worth,40.0,50,18, current,29.0, current,48.0,considering,4.0,absolutely,12.0, bigger,2.0, unique,5.0
85,extended,6.0,powerbear,15, adaptability,1.0, adaptability,3.0,seriously,2.0,idea,3.0, power,150.0, body,3.0
86,make,33.0,unit,164, digital,129.0, digital,228.0,expect,3.0,remaining,4.0, tiny,2.0, employ,3.0
87,considerably,1.0,much,45, 98,1.0, 98,3.0,30,7.0,life,61.0, powerhouse,2.0, folding,3.0
88,larger,18.0,functional,15, power,448.0, power,872.0,however,4.0,10,15.0, 5,48.0, boom,90.0
89,heavier,5.0,easy,415, safely,53.0, safely,115.0,yall,2.0,minute,9.0, cm,8.0, unfold,3.0
90,bother,4.0,use,180, accurate,3.0, accurate,28.0,know,2.0,left,11.0, diameter,6.0, ear,68.0
91,all,55.0,life,168, finishing,1.0, finishing,12.0,shocked,4.0,connectivity,6.0, folded,6.0, link,3.0
92,waterproof,5.0,better,323, top,2.0, top,17.0,cheap,7.0,awful,4.0, weighs,6.0, established,3.0
93,anymore,14.0,purchase,155, rated,24.0, rated,43.0,hand,6.0,fit,73.0, 20,18.0, automatically,17.0
94,lost,17.0,again,143, circuitry,13.0, circuitry,25.0,package,2.0,ok,70.0, gram,6.0, multifunction,5.0
95,charging,59.0,ok,338, prevents,65.0, prevents,150.0,understand,4.0,magnet,12.0, increased,2.0, control,28.0
96,anyway,9.0,t,1, overcharging,26.0, overcharging,70.0,material,2.0,stronger,4.0, talk,257.0, button,16.0
97,there,18.0,s5,31, ac,54.0, ac,102.0,light,4.0,overall,16.0, time,331.0, volume,10.0
98,decent,6.0,actually,93, usa,19.0, usa,56.0,sooo,2.0,fairly,3.0, hour,192.0, measure,3.0
99,store,11.0,lot,167, plug,140.0, plug,367.0,incredibly,2.0,mediocre,3.0, standby,152.0, 5,76.0
100,cash,3.0,hand,134, input,1255.0, input,4691.0,also,4.0,easily,30.0,motorola,54.0, cm,5.0
101,stage,1.0,thicker,13, 100240v,7.0, 100240v,14.0,crazy,4.0,pay,7.0, earbuds,64.0, diameter,3.0
102,click,3.0,pone,1, output,120.0, output,275.0,bad,27.0,for,15.0, behindtheneck,32.0, folded,3.0
103,rubber,21.0,body,13, 5v,13.0, 5v,29.0,no,2.0,year,16.0, provides,62.0, weighs,4.0
104,fit,93.0,performance,26, 12watts15a,1.0, 12watts15a,3.0,name,3.0,switching,5.0, comfortable,49.0, 20,11.0
105,snug,3.0,day,339,go,10.0,go,17.0,brand,9.0,pro,20.0, fit,44.0, gram,4.0
106,it,232.0,business,24, increase,60.0, increase,110.0,available,3.0,huge,4.0, magnet,32.0, talk,502.0
107,little,103.0,s7,21, powerbear,40.0, powerbear,68.0,favorite,2.0,upgrade,4.0, secure,32.0, time,584.0
108,loose,20.0,extended,40, galaxy,676.0, galaxy,1911.0,vibration,2.0,dollar,4.0, collar,32.0, 8,69.0
109,isnt,14.0,batter,7, s4,104.0, s4,193.0,whats,2.0,couple,8.0, prevent,39.0, hour,355.0
110,bad,116.0,option,58, extended,133.0, extended,261.0,cord,8.0,love,123.0, tangling,32.0, standby,248.0
111,35mm,1.0,mystery,1, capacity,451.0, capacity,1286.0,look,13.0,them,28.0, noise,138.0, 200,4.0
112,headphone,16.0,bought,397, 230,10.0, 230,17.0,forward,4.0,grammy,2.0, cancellation,69.0,includes,5.0
113,jack,4.0,found,109, standard,148.0, standard,279.0,talking,2.0,unhappy,2.0,shirt,1.0, sendend,2.0
114,wont,32.0,game,24, smartphone,119.0, smartphone,250.0,head,4.0,ear,132.0, clip,7.0, key,6.0
115,seat,3.0,apps,21, replace,51.0, replace,97.0,wish,8.0,surprised,8.0, included,44.0, shirt,1.0
116,properly,19.0,liked,64, existing,215.0, existing,472.0,color,2.0,much,11.0, handset,34.0, motorola,318.0
117,port,19.0,mess,4, smart,148.0, smart,371.0,earbud,2.0,talk,18.0, 25mm,1.0, razr,9.0
118,problem,84.0,real,56, stronger,20.0, stronger,45.0,shorted,4.0,repeat,2.0, jack,8.0, v3,1.0
119,high,9.0,killer,4, larger,13.0, larger,27.0,3,11.0,time,114.0, will,3.0,unlocked,32.0
120,hope,11.0,abuse,11, guaranteed,98.0, guaranteed,237.0,wont,8.0,issue,30.0, work,93.0, cell,425.0
121,quality,89.0,baby,3, 23x,20.0, 23x,34.0,buying,7.0,lasted,23.0, apple,21.0, gsm,403.0
122,claim,7.0,star,181, excellent,83.0, excellent,207.0,again,7.0,month,45.0, iphone,33.0, carrier,443.0
123,be,6.0,plastic,112, source,22.0, source,32.0,ok,2.0,stuff,11.0, ipad,5.0, att,138.0
124,hold,91.0,super,106, portable,747.0, portable,2696.0,trust,5.0,well,41.0, device,312.0, tmobile,162.0
125,expected,107.0,weak,29, extra,89.0, extra,234.0,youll,2.0,wasnt,18.0, 35mm,6.0, cdma,174.0
126,yes,13.0,managed,8, ability,23.0, ability,54.0,hate,4.0,damaged,5.0,mono,4.0, verizon,187.0
127,followed,4.0,crack,16, maximize,11.0, maximize,22.0,magnet,2.0,twisted,4.0, voice,82.0, sprint,155.0
128,instruction,23.0,got,337, samsung,530.0, samsung,1236.0,earbuds,2.0,sat,2.0, unique,6.0, quadband,67.0
129,explicitly,1.0,nice,550, drastically,10.0, drastically,17.0,use,11.0,on,21.0, body,5.0, 85090018001900,61.0
130,maximize,1.0,easier,30, compared,26.0, compared,59.0,wife,8.0,like,129.0, employ,4.0, frequency,79.0
131,performance,4.0,hold,300, double,45.0, double,113.0,out,4.0,wire,17.0, folding,4.0, gprs,46.0
132,product,145.0,exactly,153, strength,51.0, strength,47.0,onoff,2.0,looked,12.0, multifunction,7.0, data,339.0
133,doesnt,120.0,described,134, day,335.0, day,803.0,switch,3.0,bit,23.0, control,13.0, capability,64.0
134,help,23.0,ive,302, some,20.0, some,39.0,accidentally,2.0,suddenly,3.0, button,20.0, vga,41.0
135,lot,63.0,installing,15, included,835.0, included,2662.0,pressed,2.0,dead,6.0, volume,7.0, digital,109.0
136,anker,34.0,charged,134, packaging,111.0, packaging,238.0,wearing,3.0,try,16.0, measure,5.0, camera,182.0
137,zerolemon,1.0,capacity,37, easy,574.0, easy,1617.0,collared,2.0,recharge,5.0, 8,31.0, 640,45.0
138,capacity,10.0,sitting,13, extremely,53.0, extremely,93.0,poor,7.0,it,108.0, 200,4.0, 480,42.0
139,advertised,74.0,table,14, install,35.0, install,88.0,microphone,4.0,red,3.0,instant,1.0, video,88.0
140,longer,8.0,93,1, remove,89.0, remove,326.0,switched,3.0,light,25.0, calling,10.0, capture,57.0
141,forever,4.0,remaining,10, simply,109.0, simply,228.0,lg,9.0,out,28.0, inside,7.0, mb,40.0
142,depleted,2.0,purchased,173, pop,30.0, pop,68.0,satisfactory,2.0,tried,24.0, outside,1.0, memory,138.0
143,juice,9.0,granfondo,2, access,458.0, access,1217.0,promptly,3.0,multiple,4.0, sophisticated,1.0, not,48.0
144,wear,15.0,bike,19, grade,75.0, grade,215.0,like,66.0,broken,11.0, duplex,26.0, expandable,44.0
145,2,89.0,ride,19, cell,853.0, cell,1693.0,these,4.0,headset,97.0, echo,49.0, duplex,40.0
146,instead,18.0,event,6, ce,12.0, ce,25.0,cheaply,2.0,past,10.0, reduction,35.0, speakerphone,148.0
147,1,43.0,7,46, rohs,15.0, rohs,63.0,chinese,5.0,worked,76.0, up,80.0, access,97.0
148,requires,3.0,time,674, certification,49.0, certification,101.0,bluetooth,17.0,physically,2.0, single,2.0, personal,62.0
149,plate,4.0,tell,84, come,183.0, come,471.0,headphone,8.0,destroyed,2.0, 1watt,1.0, email,70.0
150,include,1.0,claim,8, special,28.0, special,83.0,failed,5.0,whatever,4.0, speaker,33.0, web,68.0
151,translates,1.0,ill,51, protect,137.0, protect,490.0,two,2.0,one,48.0, operation,1.0, browser,57.0
152,cell,51.0,try,91, overheating,29.0, overheating,70.0,tried,14.0,maddening,2.0, vehicle,14.0, smsmmsems,42.0
153,holster,14.0,followup,2, shortcircuit,14.0, shortcircuit,34.0,figure,3.0,problem,57.0, adapter,73.0, messaging,65.0
154,otter,5.0,opinion,21, discharging,39.0, discharging,95.0,havent,9.0,fast,59.0, enabled,6.0, up,173.0
155,box,22.0,commenst,1, 500,28.0, 500,46.0,me,15.0,forward,4.0, 12,43.0, 667,40.0
156,drawback,4.0,104,1, repeated,10.0, repeated,17.0,fine,7.0,rewind,2.0,unlocked,23.0, 250,43.0
157,cant,68.0,mile,22, cycle,49.0, cycle,116.0,last,5.0,didnt,43.0, cell,218.0, this,326.0
158,attach,4.0,lasted,75, 24,40.0, 24,116.0,8,4.0,look,21.0, gsm,188.0, include,66.0
159,belt,43.0,a,48, month,67.0, month,125.0,hour,9.0,feature,18.0, carrier,212.0, manufacturer,111.0
160,now,21.0,anticipated,2, stand,52.0, stand,119.0,so,3.0,assumed,2.0, att,68.0, honor,28.0
161,4,67.0,participated,1, product,502.0, product,1013.0,should,6.0,do,10.0, tmobile,83.0, international,45.0
162,looked,16.0,conventional,1, satisfied,10.0, satisfied,17.0,died,7.0,im,73.0, cdma,91.0, version,37.0
163,ago,21.0,depleted,4, know,11.0, know,26.0,quickly,4.0,ecstatic,2.0, verizon,91.0, contact,42.0
164,90,6.0,6,173, contact,99.0, contact,224.0,horrible,13.0,hearing,9.0, sprint,78.0, seller,33.0
165,wife,23.0,entire,24, amazon,67.0, amazon,113.0,at,2.0,welcome,2.0, quadband,34.0, specific,30.0
166,got,122.0,70,14, help,71.0, help,244.0,audiophile,4.0,device,62.0, 85090018001900,34.0, information,41.0
167,one,70.0,finish,17, issue,47.0, issue,138.0,crave,2.0,connected,19.0, frequency,36.0,exclusive,1.0
168,daughter,16.0,problem,255, have,13.0, have,20.0,workman,2.0,literally,5.0, gprs,28.0, black,36.0
169,soninlaw,1.0,whatsoever,7, customer,348.0, customer,1151.0,consider,3.0,blasting,2.0, data,175.0, anodized,1.0
170,them,27.0,definitely,114, satisfaction,25.0, satisfaction,79.0,rigid,3.0,forget,10.0, capability,37.0, aluminum,2.0
171,initial,6.0,recommend,274, priority,11.0, priority,20.0,plastic,8.0,adjust,10.0, vga,26.0, shell,2.0
172,teething,1.0,anyone,14, thats,14.0, thats,23.0,paid,7.0,appears,6.0, digital,63.0, ultra,2.0
173,issue,65.0,thanks,184, guarantee,52.0, guarantee,196.0,provide,3.0,deaf,2.0, camera,91.0, thin,2.0
174,change,20.0,perfectly,216,professional,6.0,the,974.0,rave,2.0,people,27.0, 640,27.0, feathertouch,1.0
175,luckily,2.0,wowdoes,1, quality,496.0, tech,5.0,review,17.0,active,3.0, 480,26.0, precision,1.0
176,fianceacute,1.0,increase,8, custom,56.0, professional,68.0,cash,2.0,loud,18.0, video,54.0, crafted,1.0
177,galaxy,34.0,overall,83, uniquely,5.0, data,1094.0,prize,2.0,beep,2.0, capture,36.0, keypad,3.0
178,s5,12.0,mah,14, superior,27.0, outperforms,1.0,merchandise,2.0,too,14.0, mb,26.0, longrange,1.0
179,fix,8.0,mid,8, this,338.0, originally,11.0,money,11.0,actually,19.0, memory,76.0, vibrant,1.0
180,replacement,24.0,issue,199, housing,12.0, manufactured,54.0,personal,2.0,glad,13.0, not,27.0, beautiful,1.0
181,original,16.0,aware,14, ab,4.0, aftermarkets,1.0,fake,5.0,theyre,8.0, expandable,26.0, dual,106.0
182,add,12.0,yet,28, impact,24.0, commonly,1.0,permeate,2.0,replace,18.0, speakerphone,103.0, color,33.0
183,bulk,7.0,extend,6, plastic,149.0, seen,3.0,ethically,2.0,proper,2.0, access,59.0, screen,27.0
184,found,30.0,hoped,11, ergonomic,3.0, elsewhere,17.0,challenged,2.0,set,20.0, personal,35.0, 4x,2.0
185,8th,1.0,normal,31, unique,57.0, this,743.0,people,8.0,cheap,29.0, email,41.0, zoom,11.0
186,3,55.0,last,61, lasting,6.0, provides,746.0,post,5.0,riddance,2.0, web,39.0,dimension,1.0
187,father,2.0,add,54, integrated,40.0, connect,315.0,electronic,3.0,best,76.0, browser,33.0, 165,2.0
188,15,14.0,weight,39, precision,24.0, computer,167.0,difficult,3.0,lasting,5.0, smsmmsems,26.0, 635mm,1.0
189,life,43.0,imagine,12, fast,132.0, software,142.0,posted,2.0,ive,63.0, messaging,41.0, wirelessly,3.0
190,depends,2.0,update,78, protection,398.0, sold,934.0,amazon,10.0,used,10.0, 667,28.0, listen,14.0
191,usage,7.0,customer,142, flexible,25.0, seperately,5.0,mean,4.0,doesnt,45.0, 250,25.0, music,155.0
192,external,3.0,service,288, retractable,60.0, feature,842.0,rest,3.0,anymore,4.0, include,35.0, miss,1.0
193,charger,97.0,helpful,23, wire,19.0, phonebook,18.0,honest,3.0,assure,2.0, honor,16.0, call,149.0
194,stay,51.0,sent,53, extends,63.0, internet,173.0,eh,2.0,personal,4.0, international,22.0, intuitive,3.0
195,mobile,8.0,bit,145, foot,62.0, music,969.0,build,3.0,abuse,3.0, version,20.0, right,44.0
196,tied,2.0,light,146, long,36.0, ringtones,5.0,current,3.0,wouldnt,14.0, contact,24.0, earpiece,2.0
197,cord,33.0,2,246, final,1.0, mp3,220.0,advertised,7.0,hesitate,3.0, seller,21.0, left,1.0
198,dead,29.0,wow,15, accessory,189.0, calendar,10.0,person,5.0,purchase,40.0, specific,16.0, approximately,9.0
199,recharge,13.0,58,2, purchase,29.0, etc,53.0,hard,6.0,again,33.0, information,26.0, 500,5.0
200,disappointed,53.0,10,76,bulletpoint1,4.0, support,617.0,time,29.0,nice,70.0,dimension,1.0, 12,102.0
201,unplugging,3.0,hr,6,fit,48.0, modem,12.0,hearing,4.0,sound,157.0, 165,2.0,quadband,2.0
202,charged,57.0,surf,2, 1year,21.0, check,34.0,you,2.0,onoff,7.0, 635mm,1.0, unlocked,260.0
203,60,9.0,1,97, provides,276.0, email,336.0,excellet,1.0,button,43.0, wirelessly,4.0,get,53.0
204,trade,2.0,app,27,sweat,6.0, consult,3.0,gear,1.0,connect,15.0, listen,10.0, connected,61.0
205,show,1.0,heavily,4, resistant,60.0, carrier,1421.0,unit,10.0,somewhat,5.0, music,65.0, 4,129.0
206,send,8.0,job,135, silicone,170.0, service,1295.0,connector,3.0,awkward,4.0, miss,1.0, step,3.0
207,text,13.0,lasting,18, band,38.0, advanced,1150.0,min,1.0,shipping,27.0, call,74.0, classic,4.0
208,picture,17.0,still,13, active,15.0, regulation,139.0,returned,10.0,switch,8.0, intuitive,1.0, iconic,3.0
209,receive,15.0,im,364, lifestyle,7.0, controlled,5.0,it,57.0,forth,2.0, right,12.0, superslim,1.0
210,email,13.0,glad,46, soft,149.0, equally,2.0,good,21.0,spearker,2.0, earpiece,2.0, enhanced,20.0
211,cetera,1.0,24,26, touch,408.0, mean,43.0,range,2.0,bluetooth,104.0, left,1.0, playback,9.0
212,first,7.0,month,192, material,446.0, digitial,1.0,worse,6.0,easy,55.0, approximately,4.0, 123,1.0
213,kept,15.0,happy,188, feel,62.0,professional,10.0,glove,1.0,packaged,5.0, 500,6.0, megapixel,39.0
214,fear,1.0,thw,1, comfortable,132.0, quality,1133.0,box,4.0,neat,2.0,,15.0, cameracamcorder,23.0
215,setup,10.0,3x,4, snapin,6.0, custom,138.0,owned,2.0,style,19.0,quadband,5.0, microsd,65.0
216,thin,24.0,stated,12, clasp,6.0, uniquely,4.0,phone,169.0,ease,5.0, unlocked,119.0, expansion,27.0
217,willing,2.0,worked,404, eliminates,112.0, superior,97.0,screen,11.0,use,42.0, classic,6.0, audio,134.0
218,accept,5.0,active,12, snagging,11.0, housing,31.0,stopped,12.0,havent,10.0, iconic,3.0, player,71.0
219,thick,6.0,while,28, excess,8.0, ab,22.0,didnt,27.0,riding,2.0, superslim,3.0, itunes,3.0
220,package,6.0,yes,29, easily,155.0, impact,70.0,reception,3.0,motorcycle,2.0, razr,9.0, 310,1.0
221,lucky,5.0,swap,5, interchange,6.0, plastic,429.0,refurbished,5.0,see,3.0, playback,3.0, 129,1.0
222,last,13.0,two,23, release,35.0, ergonomic,11.0,wonder,1.0,surprisingly,2.0, 123,3.0, day,288.0
223,receiving,4.0,casing,9, watch,17.0, unique,156.0,wasnt,5.0,19,4.0, megapixel,14.0,lightweight,12.0
224,moderate,3.0,not,38, pin,123.0, lasting,29.0,spend,1.0,bought,70.0, cameracamcorder,14.0, comfort,2.0
225,night,20.0,dremel,1, buckle,6.0, integrated,109.0,fix,2.0,found,23.0, microsd,36.0, includes,125.0
226,midnight,1.0,cut,39, cast,14.0, precision,90.0,scratch,3.0,comfortable,35.0, expansion,20.0, tip,2.0
227,unplugged,2.0,space,33, stainless,9.0, fast,338.0,distorted,3.0,wear,18.0, audio,63.0, portable,43.0
228,22,1.0,rubber,79, steel,12.0, protection,1254.0,normally,2.0,walking,8.0, player,31.0, support,70.0
229,77,1.0,altered,2, available,63.0, flexible,92.0,tell,2.0,jogging,4.0, itunes,9.0, easypair,2.0
230,installed,21.0,well,261, 2,315.0, retractable,131.0,buy,28.0,figured,5.0, 310,3.0, 15,10.0
231,gone,6.0,please,1, color,240.0, wire,34.0,save,2.0,control,16.0, 129,3.0, 75,4.0
232,usually,14.0,note,80,snap,5.0, extends,141.0,else,4.0,default,3.0, day,143.0, enabled,14.0
233,5,45.0,it,763, gps,287.0, foot,87.0,att,7.0,setting,7.0,compatible,9.0,swivel,1.0
234,till,1.0,weekend,4, unit,60.0, long,66.0,dropped,1.0,low,18.0, emu,6.0, beltclip,1.0
235,10,26.0,wednesday,1, secure,128.0, final,1.0,service,6.0,hassle,4.0, 1,56.0, high,13.0
236,pm,2.0,cant,147, handlebar,4.0, accessory,445.0,audio,1.0,simple,7.0, v3,1.0, quality,86.0
237,type,13.0,return,60, mount,268.0, purchase,54.0,soso,2.0,slider,2.0, leather,11.0, leather,10.0
